20230622	19:14:43	f3a17b67-9805-4a8c-a8d5-04fef898884f	/new-page.html	GET
20230622	19:14:43	1ba05768-a1cb-40db-a4cc-2f2be72eb1d4	/css/style.css	GET
20230622	19:14:43	4b7a82cd-eb89-498f-b083-b6e18b74cf2c	/img/img1.jpg	GET
20230622	19:14:43	a6d68bfa-4306-45ad-bc4e-c5887713fdc1	/favicon.ico	GET
20230622	19:18:42	0632ea18-49fa-4935-be76-f5b4ceb55366	/new-page.html	GET
20230622	19:19:31	f7f91cd9-0bb9-426e-a122-b3e09395ce3a	/new-page.html	GET
20230622	19:19:31	1215d753-b5aa-4943-b2b6-010c6520a0a2	/css/style.css	GET
20230622	19:19:31	0557f820-1252-4934-a22c-a1b77e256d7a	/img/img1.jpg	GET
20230622	19:19:37	c8bfcad5-d0c0-4b32-af3a-dba09fba450f	/	GET
20230622	19:19:37	75606f89-f75f-47f7-8157-18910412d1a2	/css/style.css	GET
20230623	18:00:27	83f07286-2b1a-4523-8556-b1482b3b95c1	GET	undefined	/new-page.html
20230623	18:00:27	e7082010-eeff-4950-bd28-bba6ad5b20e1	GET	undefined	/css/style.css
20230623	18:00:27	476d303c-5494-41f2-84c9-7ac0ca842481	GET	undefined	/img/img1.jpg
20230623	18:03:29	ad33e675-7b27-488c-a41d-688b4271777b	GET	undefined	/new-page.html
20230623	18:03:29	9135a619-c007-4829-8654-17ef67597857	GET	undefined	/css/style.css
20230623	18:03:29	181fc4f7-dff6-4b8f-b6f1-198472366116	GET	undefined	/img/img1.jpg
20230623	18:07:03	74e51342-cf4b-4f15-8e46-5e5e0815cfdd	OPTIONS	https://www.google.com	/
20230623	18:07:03	1a7f31ef-bc8a-41a6-bbfe-139f7197f36a	GET	https://www.google.com	/
20230623	18:14:19	cd69230a-3ffc-4392-a67e-345ecaf1574f	OPTIONS	https://www.google.com	/
20230623	18:14:19	284713ab-18df-4f4c-80b4-74d8bab7ff60	GET	https://www.google.com	/
20230623	18:14:39	63f82e87-8a07-46a2-b61a-09ea0a632c4d	OPTIONS	https://www.google.com	/
20230623	18:14:39	1f3e5425-8ddc-414b-b84c-42edb320556a	GET	https://www.google.com	/
20230623	18:18:32	34363b0a-7950-43db-85df-ca2244158aa8	GET	undefined	/
20230623	18:19:23	d8c3cada-5c0d-4190-a829-e1b5f0210283	GET	undefined	/
20230623	18:19:23	87abfd56-f0e9-47ca-9d80-7c0fa2b17bd3	GET	undefined	/css/style.css
20230623	18:24:44	3ee45a0f-af7d-49f2-a422-ef23dc2a8084	GET	undefined	/
20230623	18:25:40	81316696-9293-441b-ab67-378f9fb4f666	GET	undefined	/
20230623	18:25:40	27902b8c-64d2-4525-bbba-6de29289fbf9	GET	undefined	/css/style.css
20230623	18:27:09	183d56e3-eced-498e-b4e4-58e311203e1e	GET	undefined	//fdf
20230623	18:27:09	5a458a90-3a2a-4ab6-bc7c-efefd440d8ff	GET	undefined	//css/style.css
20230623	18:31:04	0437a789-1c94-49f4-9745-8b7829cd0dfc	GET	undefined	//fdf
20230623	18:31:04	69fa46cf-3e32-48fa-a27c-a9e1404f30aa	GET	undefined	//css/style.css
20230624	11:18:05	9a6522ee-d19a-41ff-aa6e-aedaeff86a10	GET	undefined	/subdir/index
20230624	11:19:08	4b767026-9969-458f-b87d-cfd94bf2e2bb	GET	undefined	/subdir/idex
20230624	11:19:08	8c61299d-0561-4997-8d62-f16d26f39922	GET	undefined	/subdir/css/style.css
20230624	11:20:17	7557c19d-fabe-4da0-897f-9d0aacf29515	GET	undefined	/subdir/idex
20230624	11:20:17	a682e7cb-226c-450f-8b35-2d33ef8ede6c	GET	undefined	/subdir/css/style.css
20230624	11:20:56	d7f1b535-d681-4125-afd8-b6d696a16377	GET	undefined	/subdi
20230624	11:20:56	5c172b5a-89b4-4d16-b17c-e9399f9b4d03	GET	undefined	/css/style.css
20230624	11:20:59	afb3fbc6-fdfa-4ac0-a56d-16df13a1459f	GET	undefined	/subdir
20230624	11:20:59	419529f8-5822-4c7c-b4e6-04065529c474	GET	undefined	/subdir/
20230624	11:25:48	3009123e-b920-414a-a50e-e96edcd375f6	GET	undefined	/
20230624	11:25:48	9bc40a40-95ce-4ecd-b390-3202d7aad3e0	GET	undefined	/css/style.css
20230624	11:25:55	5bbae982-a8f1-499b-be9f-52690c20a461	GET	undefined	/new-page.html
20230624	11:25:55	212e6d56-941b-4dd2-acc8-3bdd580d4947	GET	undefined	/css/style.css
20230624	11:25:55	a2f84bd0-e646-4e6e-8c53-ebe5d3998dfe	GET	undefined	/img/img1.jpg
20230624	11:26:13	69e64ed2-5a11-4450-a1ee-c0341f6a1e32	GET	undefined	/old-age.html
20230624	11:26:13	aebba4dc-04d2-4ae5-970d-bb47fcb03b25	GET	undefined	/css/style.css
20230624	11:26:17	68d69a94-527c-44db-8a37-9bf705ad3c35	GET	undefined	/old-page.html
20230624	11:26:17	e21dcc13-5c35-40e4-a7c1-e042e8e77b1d	GET	undefined	/new-page.html
20230624	11:26:17	18608e8e-cc34-4d50-a3fe-3ccb0c5c7229	GET	undefined	/css/style.css
20230624	11:26:17	e0136ef8-bd81-4a5b-be3e-5291b498cae4	GET	undefined	/img/img1.jpg
20230624	11:46:10	a3a3d8b7-7ac1-4381-bd74-5b10bd2ae3b9	GET	undefined	/employees
20230624	11:46:26	1b39e610-9ec6-415a-84c6-a97b80a86cc1	GET	undefined	/employees
20230624	11:46:56	9cacfe4d-f566-4a10-a1c4-8b7cf057335a	GET	undefined	/employees
20230624	11:47:18	a898a8c8-f4c8-4501-ad0f-063dfde7a67b	GET	undefined	/employees/1
